epoch,acc,loss,val_acc,val_loss
0,0.89225,0.3783030075828234,0.90425,0.33471712451179825
1,0.9045416666666667,0.33807539857923985,0.9125833333333333,0.3017084464977185
2,0.9137291666666667,0.3059776488045851,0.9230833333333334,0.27501972205440206
3,0.9214583333333334,0.2764608811164896,0.9301666666666667,0.25066746488710245
4,0.9287708333333333,0.24928584127624828,0.9360833333333334,0.2283677577873071
5,0.9357916666666667,0.22530936984469493,0.9419166666666666,0.20684244716664155
6,0.9418541666666667,0.2046102081971864,0.94475,0.19546126696964106
7,0.9461666666666667,0.1874694126440833,0.94975,0.18066061370323103
8,0.9502708333333333,0.17244314421837528,0.952,0.16961198259145022
9,0.9543958333333333,0.15924400463079413,0.956,0.15691786050299802
10,0.9577708333333333,0.14748627122988303,0.958,0.15085694518436987
11,0.9611666666666666,0.13727606451821825,0.9589166666666666,0.14415870641171932
12,0.9637083333333333,0.12771696989486614,0.9621666666666666,0.135847363277028
13,0.965875,0.11943679617345333,0.963,0.1273349175353845
14,0.9682083333333333,0.11157804324260602,0.9644166666666667,0.1255359009988606
15,0.97075,0.10452256181525688,0.9645833333333333,0.12069156940405568
